iter	Passed	Remaining
262	541	1516
263	542	1511
264	543	1506
265	545	1504
266	546	1500
267	547	1495
268	549	1492
269	550	1487
270	550	1481
271	551	1476
272	552	1471
273	553	1466
274	554	1461
275	555	1456
276	555	1451
277	556	1446
278	557	1441
279	560	1442
280	562	1438
281	563	1433
282	564	1429
283	565	1424
284	566	1420
285	566	1415
286	567	1410
287	568	1405
288	569	1401
289	570	1396
290	571	1392
291	572	1387
292	574	1386
293	576	1384
294	577	1380
295	578	1376
296	579	1371
297	580	1368
298	581	1363
299	582	1359
300	583	1355
301	584	1350
302	585	1346
303	586	1342
304	587	1337
305	589	1336
306	591	1334
307	592	1331
308	593	1328
309	595	1324
310	595	1320
311	596	1315
312	597	1311
313	598	1308
314	599	1304
315	600	1300
316	601	1296
317	602	1292
318	606	1294
319	607	1291
320	608	1287
321	609	1284
322	610	1280
323	612	1277
324	613	1273
325	614	1270
326	615	1266
327	615	1262
328	616	1258
329	617	1254
330	621	1255
331	622	1252
332	623	1249
333	625	1246
334	626	1243
335	627	1240
336	629	1237
337	630	1234
338	631	1231
339	632	1227
340	633	1224
341	636	1224
342	637	1221
343	640	1221
344	641	1217
345	642	1214
346	643	1211
347	644	1207
348	645	1203
349	646	1200
350	647	1197
351	648	1193
352	651	1194
353	653	1192
354	654	1189
355	656	1186
356	657	1183
357	658	1180
358	659	1176
359	660	1174
360	661	1171
361	662	1167
362	663	1164
363	668	1167
364	669	1164
365	671	1162
366	672	1159
367	673	1156
368	674	1153
369	675	1150
370	676	1147
371	678	1145
372	679	1141
373	682	1142
374	683	1139
375	684	1136
376	685	1132
377	686	1130
378	687	1126
379	688	1123
380	689	1120
381	690	1116
382	691	1113
383	692	1110
384	692	1106
385	693	1103
386	694	1100
387	697	1100
388	698	1097
389	699	1094
390	700	1090
391	701	1087
392	702	1084
393	703	1081
394	704	1078
395	704	1075
396	705	1072
397	706	1069
398	707	1065
399	708	1062
400	709	1059
401	711	1058
402	713	1056
403	714	1053
404	714	1050
405	715	1047
406	716	1044
407	717	1040
408	718	1037
409	719	1034
410	720	1031
411	720	1028
412	721	1025
413	722	1022
414	723	1020
415	724	1017
416	725	1014
417	727	1013
418	728	1010
419	729	1008
420	730	1005
421	732	1002
422	733	1000
423	734	997
424	734	994
425	735	991
426	736	988
427	737	985
428	738	982
429	739	979
430	740	977
431	742	976
432	744	974
433	744	971
434	745	968
435	746	965
436	747	962
437	748	960
438	749	957
439	750	954
440	751	952
441	752	949
442	753	946
443	754	944
444	754	941
445	756	939
446	758	938
447	759	936
448	760	933
449	761	931
450	762	928
451	763	926
452	764	923
453	767	922
454	768	920
455	769	917
456	770	915
457	774	917
458	776	915
459	777	913
